run_id,profile,target,repeat,status,pending_to_first_capacity_seconds,pending_to_all_running_seconds,scale_down_completion_seconds
ca-vs-kpo-20260420T154619Z,burst,ca,1,success,145.527243,200.888039,688.0
ca-vs-kpo-20260420T154619Z,burst,kpo,1,success,3.867496,163.943462,828.0
ca-vs-kpo-20260420T154619Z,burst,ca,2,success,107.568294,164.328111,695.0
ca-vs-kpo-20260420T154619Z,burst,kpo,2,success,3.949886,164.495018,540.0
ca-vs-kpo-20260420T154619Z,burst,ca,3,success,119.97483,189.370978,689.0
ca-vs-kpo-20260420T154619Z,burst,kpo,3,success,3.910524,164.506439,575.0
ca-vs-kpo-20260420T154619Z,steady,ca,1,success,120.500735,189.434139,962.0
ca-vs-kpo-20260420T154619Z,steady,kpo,1,success,3.946892,162.711291,465.0
ca-vs-kpo-20260420T154619Z,steady,ca,2,success,133.169488,175.672383,945.0
ca-vs-kpo-20260420T154619Z,steady,kpo,2,success,4.034232,160.792811,474.0
ca-vs-kpo-20260420T154619Z,steady,ca,3,success,119.717918,175.432313,942.0
ca-vs-kpo-20260420T154619Z,steady,kpo,3,success,3.773718,173.889561,476.0
