run_id,profile,target,repeat,status,up_replicas,down_replicas,hold_seconds,started_at_utc,first_pod_pending_utc,first_capacity_ready_utc,all_running_utc,scale_down_complete_utc,ended_at_utc,pending_to_first_capacity_seconds,pending_to_all_running_seconds,scenario_start_to_all_running_seconds,all_running_to_scale_down_complete_seconds,scenario_total_seconds,reported_scale_down_elapsed_seconds,first_pending_pods_total,first_pending_pods_pending,first_capacity_nodes_ready,first_capacity_nodeclaims,all_running_pods_running,all_running_nodes_ready
ca-vs-kpo-20260420T154619Z,burst,ca,1,success,20,0,120,2026-04-20T18:20:29.383648Z,2026-04-20T18:20:37.755802Z,2026-04-20T18:23:03.283045Z,2026-04-20T18:23:58.643841Z,2026-04-20T18:37:27.882246Z,2026-04-20T18:37:27.884014Z,145.527243,200.888039,209.260193,809.238405,1018.500366,688.0,20,20,3,,20,3
ca-vs-kpo-20260420T154619Z,burst,kpo,1,success,20,0,120,2026-04-20T18:37:27.884461Z,2026-04-20T18:37:37.131158Z,2026-04-20T18:37:40.998654Z,2026-04-20T18:40:21.074620Z,2026-04-20T18:56:10.961543Z,2026-04-20T18:56:10.963012Z,3.867496,163.943462,173.190159,949.886923,1123.078551,828.0,20,20,0,3,20,3
ca-vs-kpo-20260420T154619Z,burst,ca,2,success,20,0,120,2026-04-20T18:56:10.963392Z,2026-04-20T18:56:18.219277Z,2026-04-20T18:58:05.787571Z,2026-04-20T18:59:02.547388Z,2026-04-20T19:12:38.914768Z,2026-04-20T19:12:38.916541Z,107.568294,164.328111,171.583996,816.36738,987.953149,695.0,20,20,2,,20,3
ca-vs-kpo-20260420T154619Z,burst,kpo,2,success,20,0,120,2026-04-20T19:12:38.916727Z,2026-04-20T19:12:48.795670Z,2026-04-20T19:12:52.745556Z,2026-04-20T19:15:33.290688Z,2026-04-20T19:26:35.047458Z,2026-04-20T19:26:35.050664Z,3.949886,164.495018,174.373961,661.75677,836.133937,540.0,20,20,0,3,20,3
ca-vs-kpo-20260420T154619Z,burst,ca,3,success,20,0,120,2026-04-20T19:26:35.051091Z,2026-04-20T19:26:42.151112Z,2026-04-20T19:28:42.125942Z,2026-04-20T19:29:51.522090Z,2026-04-20T19:43:22.375541Z,2026-04-20T19:43:22.378435Z,119.97483,189.370978,196.470999,810.853451,1007.327344,689.0,20,20,1,,20,3
ca-vs-kpo-20260420T154619Z,burst,kpo,3,success,20,0,120,2026-04-20T19:43:22.378768Z,2026-04-20T19:43:32.540724Z,2026-04-20T19:43:36.451248Z,2026-04-20T19:46:17.047163Z,2026-04-20T19:57:53.985236Z,2026-04-20T19:57:53.986544Z,3.910524,164.506439,174.668395,696.938073,871.607776,575.0,20,20,0,3,20,3
ca-vs-kpo-20260420T154619Z,steady,ca,1,success,8,0,300,2026-04-20T21:01:27.723210Z,2026-04-20T21:01:36.693356Z,2026-04-20T21:03:37.194091Z,2026-04-20T21:04:46.127495Z,2026-04-20T21:25:49.933667Z,2026-04-20T21:25:49.935077Z,120.500735,189.434139,198.404285,1263.806172,1462.211867,962.0,8,8,1,,8,2
ca-vs-kpo-20260420T154619Z,steady,kpo,1,success,8,0,300,2026-04-20T21:25:49.935271Z,2026-04-20T21:26:01.394686Z,2026-04-20T21:26:05.341578Z,2026-04-20T21:28:44.105977Z,2026-04-20T21:41:30.330078Z,2026-04-20T21:41:30.330641Z,3.946892,162.711291,174.170706,766.224101,940.39537,465.0,8,8,0,2,8,2
ca-vs-kpo-20260420T154619Z,steady,ca,2,success,8,0,300,2026-04-20T21:41:30.330913Z,2026-04-20T21:41:37.208409Z,2026-04-20T21:43:50.377897Z,2026-04-20T21:44:32.880792Z,2026-04-20T22:05:19.931927Z,2026-04-20T22:05:19.932898Z,133.169488,175.672383,182.549879,1247.051135,1429.601985,945.0,8,8,2,,8,2
ca-vs-kpo-20260420T154619Z,steady,kpo,2,success,8,0,300,2026-04-20T22:05:19.933080Z,2026-04-20T22:05:28.786186Z,2026-04-20T22:05:32.820418Z,2026-04-20T22:08:09.578997Z,2026-04-20T22:21:05.441429Z,2026-04-20T22:21:05.442001Z,4.034232,160.792811,169.645917,775.862432,945.508921,474.0,8,8,0,2,8,2
ca-vs-kpo-20260420T154619Z,steady,ca,3,success,8,0,300,2026-04-20T22:21:05.442216Z,2026-04-20T22:21:12.139482Z,2026-04-20T22:23:11.857400Z,2026-04-20T22:24:07.571795Z,2026-04-20T22:44:51.636241Z,2026-04-20T22:44:51.637341Z,119.717918,175.432313,182.129579,1244.064446,1426.195125,942.0,8,8,1,,8,2
ca-vs-kpo-20260420T154619Z,steady,kpo,3,success,8,0,300,2026-04-20T22:44:51.637569Z,2026-04-20T22:45:01.804822Z,2026-04-20T22:45:05.578540Z,2026-04-20T22:47:55.694383Z,2026-04-20T23:00:53.165281Z,2026-04-20T23:00:53.166354Z,3.773718,173.889561,184.056814,777.470898,961.528785,476.0,8,8,0,2,8,2
